Indicator,State,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,Alabama,18.6,14.6,23.1,14.6 - 23.1,16.5 - 20.7
Symptoms of Anxiety Disorder,Alabama,25.6,20.7,30.9,20.7 - 30.9,21.7 - 27.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,30.3,24.8,36.2,24.8 - 36.2,25.6 - 33.3
Symptoms of Depressive Disorder,Alabama,22.5,16.4,29.5,16.4 - 29.5,20.7 - 23.0
Symptoms of Anxiety Disorder,Alabama,27.2,21.1,34.1,21.1 - 34.1,26.3 - 28.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,30.6,24.1,37.7,24.1 - 37.7,30.6 - 33.4
Symptoms of Depressive Disorder,Alabama,19.6,15.6,24.2,15.6 - 24.2,18.1-20.7
Symptoms of Anxiety Disorder,Alabama,20.7,16.7,25.1,16.7 - 25.1,19.0-25.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,25.2,20.5,30.3,20.5 - 30.3,23.8-29.7
Symptoms of Depressive Disorder,Alabama,20.9,16.4,26.1,16.4 - 26.1,17.2-20.9
Symptoms of Anxiety Disorder,Alabama,25.2,20.7,30.1,20.7 - 30.1,24.8-28.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,28.8,23.9,34,23.9 - 34.0,24.8-29.5
Symptoms of Depressive Disorder,Alabama,28.4,23.6,33.5,23.6 - 33.5,26.9-31.8
Symptoms of Anxiety Disorder,Alabama,31.6,27.2,36.3,27.2 - 36.3,29.7-31.7
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.5,32.6,42.6,32.6 - 42.6,37.0-40.0
Symptoms of Depressive Disorder,Alabama,27.7,22.7,33.1,22.7 - 33.1,27.3-30.3
Symptoms of Anxiety Disorder,Alabama,33.7,29.4,38.2,29.4 - 38.2,32.8-36.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,36.9,32.2,41.9,32.2 - 41.9,34.8-37.6
Symptoms of Depressive Disorder,Alabama,26.7,21.3,32.7,21.3 - 32.7,24.0-26.7
Symptoms of Anxiety Disorder,Alabama,33.9,29.2,38.9,29.2 - 38.9,33.4-39.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.1,33.1,43.3,33.1 - 43.3,38.0-43.5
Symptoms of Depressive Disorder,Alabama,27.5,23.2,32.1,23.2 - 32.1,25.1-28.7
Symptoms of Anxiety Disorder,Alabama,33.7,28.5,39.2,28.5 - 39.2,33.4-41.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38,33.2,43,33.2 - 43.0,34.5-38.3
Symptoms of Depressive Disorder,Alabama,26.5,21.4,32,21.4 - 32.0,26.1-28.9
Symptoms of Anxiety Disorder,Alabama,28.7,24.4,33.3,24.4 - 33.3,25.1-29.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.9,31.1,41,31.1 - 41.0,34.1-35.9
Symptoms of Depressive Disorder,Alabama,28.6,24.9,32.7,24.9 - 32.7,26.8-29.3
Symptoms of Anxiety Disorder,Alabama,34.4,30,39,30.0 - 39.0,33.0-35.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,39.6,36,43.3,36.0 - 43.3,38.1-40.6
Symptoms of Depressive Disorder,Alabama,30.4,26,35.1,26.0 - 35.1,27.3-30.7
Symptoms of Anxiety Disorder,Alabama,34.9,30.4,39.6,30.4 - 39.6,34.3-37.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,40.1,35.3,45,35.3 - 45.0,38.4-42.0
Symptoms of Depressive Disorder,Alabama,32.7,27.7,38,27.7 - 38.0,32.3-38.6
Symptoms of Anxiety Disorder,Alabama,39.9,35.2,44.7,35.2 - 44.7,38.5-45.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,43.3,38.6,48,38.6 - 48.0,40.6-43.5
Symptoms of Depressive Disorder,Alabama,27.7,24.1,31.6,24.1 - 31.6,25.8-28.3
Symptoms of Anxiety Disorder,Alabama,30.6,26.8,34.5,26.8 - 34.5,28.5-30.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.2,33.2,41.3,33.2 - 41.3,35.7-38.2
Symptoms of Depressive Disorder,Alabama,25.2,22.1,28.4,22.1 - 28.4,23.3-26.5
Symptoms of Anxiety Disorder,Alabama,33.7,30.1,37.5,30.1 - 37.5,33.5-36.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.1,34.4,41.8,34.4 - 41.8,35.4-38.1
Symptoms of Depressive Disorder,Alabama,28.6,25.1,32.4,25.1 - 32.4,26.9-31.8
Symptoms of Anxiety Disorder,Alabama,30.8,27.1,34.7,27.1 - 34.7,29.3-31.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,37.2,33.4,41.2,33.4 - 41.2,36.3-38.4
Symptoms of Depressive Disorder,Alabama,25,20.9,29.4,20.9 - 29.4,24.5-26.0
Symptoms of Anxiety Disorder,Alabama,29.4,25.7,33.3,25.7 - 33.3,24.7-29.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,33.6,29.6,37.8,29.6 - 37.8,27.8-34.3
Symptoms of Depressive Disorder,Alabama,27.7,23.6,32.2,23.6 - 32.2,27.4-33.4
Symptoms of Anxiety Disorder,Alabama,29.9,26.1,33.9,26.1 - 33.9,24.2-30.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,36,32.1,40.1,32.1 - 40.1,35.5-37.1
Symptoms of Depressive Disorder,Alabama,33.8,27.5,40.5,27.5 - 40.5,29.5-34.0
Symptoms of Anxiety Disorder,Alabama,35.3,29.8,41.1,29.8 - 41.1,34.8-36.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,44.8,38.6,51.2,38.6 - 51.2,43.7-50.1
Symptoms of Depressive Disorder,Alabama,31.5,26.6,36.7,26.6 - 36.7,30.2-35.5
Symptoms of Anxiety Disorder,Alabama,40.1,35.1,45.4,35.1 - 45.4,38.5-43.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,43.8,38.6,49,38.6 - 49.0,41.6-44.3
Symptoms of Depressive Disorder,Alabama,30.5,24.8,36.7,24.8 - 36.7,28.5-31.2
Symptoms of Anxiety Disorder,Alabama,32.5,26.2,39.3,26.2 - 39.3,27.5-34.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.5,31.8,45.5,31.8 - 45.5,32.4-39.2
Symptoms of Depressive Disorder,Alabama,35.1,30,40.5,30.0 - 40.5,32.4-39.4
Symptoms of Anxiety Disorder,Alabama,39.1,34.1,44.2,34.1 - 44.2,38.2-45.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,44,38.5,49.6,38.5 - 49.6,41.2-44.1
Symptoms of Depressive Disorder,Alabama,29.3,23.6,35.5,23.6 - 35.5,28.1-30.1
Symptoms of Anxiety Disorder,Alabama,36.8,30.6,43.3,30.6 - 43.3,34.9-37.3
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,42,35.7,48.5,35.7 - 48.5,40.5-42.8
Symptoms of Depressive Disorder,Alabama,32.1,26.3,38.3,26.3 - 38.3,30.4-34.0
Symptoms of Anxiety Disorder,Alabama,36.6,30.8,42.6,30.8 - 42.6,35.2-37.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,43.4,37,49.8,37.0 - 49.8,43.3-47.5
Symptoms of Depressive Disorder,Alabama,29.8,25.2,34.6,25.2 - 34.6,27.4-29.8
Symptoms of Anxiety Disorder,Alabama,35.1,30.1,40.4,30.1 - 40.4,33.2-35.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,40.1,35,45.4,35.0 - 45.4,38.8-40.6
Symptoms of Depressive Disorder,Alabama,27.6,23,32.5,23.0 - 32.5,27.5-29.1
Symptoms of Anxiety Disorder,Alabama,30,25.2,35.2,25.2 - 35.2,21.4-30.2
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,36.5,31,42.4,31.0 - 42.4,36.0-38.2
Symptoms of Depressive Disorder,Alabama,29,23.2,35.4,23.2 - 35.4,28.2-35.0
Symptoms of Anxiety Disorder,Alabama,33.1,27,39.5,27.0 - 39.5,31.5-33.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,38.1,31.8,44.6,31.8 - 44.6,36.1-38.7
Symptoms of Depressive Disorder,Alabama,24.8,20.4,29.6,20.4 - 29.6,23.6-25.5
Symptoms of Anxiety Disorder,Alabama,29.8,25.4,34.4,25.4 - 34.4,29.2-31.4
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,34.5,30.3,38.9,30.3 - 38.9,32.1-34.7
Symptoms of Depressive Disorder,Alabama,24.3,19.5,29.7,19.5 - 29.7,23.8-29.1
Symptoms of Anxiety Disorder,Alabama,29.8,25,35,25.0 - 35.0,29.0-35.6
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.5,30.4,40.7,30.4 - 40.7,33.6-42.1
Symptoms of Depressive Disorder,Alabama,27.3,22.5,32.5,22.5 - 32.5,23.2-27.3
Symptoms of Anxiety Disorder,Alabama,28.1,23.7,33,23.7 - 33.0,27.9-30.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,33.3,28.5,38.5,28.5 - 38.5,31.9-35.5
Symptoms of Depressive Disorder,Alabama,22.7,17.8,28.2,17.8 - 28.2,20.7-22.7
Symptoms of Anxiety Disorder,Alabama,23.8,19.4,28.7,19.4 - 28.7,23.5-24.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,28,23.2,33.2,23.2 - 33.2,27.2-28.9
Symptoms of Depressive Disorder,Alabama,21.5,16.5,27.2,16.5 - 27.2,20.3-22.3
Symptoms of Anxiety Disorder,Alabama,27.7,21.8,34.2,21.8 - 34.2,27.0-31.8
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,31.8,25.7,38.4,25.7 - 38.4,29.3-31.8
Symptoms of Depressive Disorder,Alabama,24.5,19.6,29.9,19.6 - 29.9,22.4-31.5
Symptoms of Anxiety Disorder,Alabama,24.4,20.2,29.1,20.2 - 29.1,22.9-25.1
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,29.5,24.9,34.3,24.9 - 34.3,26.8-29.8
Symptoms of Depressive Disorder,Alabama,25.3,20.6,30.4,20.6 - 30.4,23.2-29.6
Symptoms of Anxiety Disorder,Alabama,31,26.4,35.9,26.4 - 35.9,26.4-33.5
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.9,31.1,41,31.1 - 41.0,31.3-37.5
Symptoms of Depressive Disorder,Alabama,25.3,20.9,30.2,20.9 - 30.2,24.3-31.3
Symptoms of Anxiety Disorder,Alabama,29.9,25.4,34.6,25.4 - 34.6,29.7-36.0
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,35.3,30.9,39.9,30.9 - 39.9,34.3-40.9
Symptoms of Depressive Disorder,Alabama,21.1,17.2,25.3,17.2 - 25.3,18.9-21.1
Symptoms of Anxiety Disorder,Alabama,26.3,22,31,22.0 - 31.0,25.9-27.9
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,29.9,25.4,34.7,25.4 - 34.7,28.1-30.3
Symptoms of Depressive Disorder,Alabama,28.4,23.9,33.4,23.9 - 33.4,25.1-28.4
Symptoms of Anxiety Disorder,Alabama,34.5,30.1,39.1,30.1 - 39.1,30.1-36.2
